iter	Passed	Remaining
972	15468	429
973	15483	413
974	15499	397
975	15514	381
976	15528	365
977	15542	349
978	15559	333
979	15574	317
980	15590	301
981	15605	286
982	15621	270
983	15635	254
984	15651	238
985	15665	222
986	15681	206
987	15697	190
988	15713	174
989	15729	158
990	15746	143
991	15760	127
992	15777	111
993	15792	95
994	15808	79
995	15823	63
996	15839	47
997	15854	31
998	15870	15
999	15885	0
